Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Precious Achiuwa,PF,21,MIA,3,0,12,3,4,0.75,0,0,,3,4,0.75,0.75,1,4,0.25,0,6,6,0,0,2,4,1,7,achiupr01
2,Bam Adebayo,C,23,MIA,4,4,136,26,57,0.456,0,0,,26,57,0.456,0.456,10,13,0.769,14,23,37,17,5,2,11,11,62,adebaba01
3,Ty-Shon Alexander,SG,22,PHO,1,0,1,1,1,1,0,0,,1,1,1,1,0,0,,0,0,0,0,0,0,0,0,2,alexaty01
4,Grayson Allen,SG,25,MEM,5,0,116,12,33,0.364,8,21,0.381,4,12,0.333,0.485,0,1,0,3,10,13,1,2,1,1,13,32,allengr01
5,Kyle Anderson,PF,27,MEM,5,5,142,18,42,0.429,3,12,0.25,15,30,0.5,0.464,3,4,0.75,4,21,25,16,14,0,4,9,42,anderky01
6,Giannis Antetokounmpo,PF,26,MIL,21,21,800,250,439,0.569,13,70,0.186,237,369,0.642,0.584,121,206,0.587,59,210,269,108,21,25,64,61,634,antetgi01
7,Thanasis Antetokounmpo,SF,28,MIL,13,0,45,2,7,0.286,0,0,,2,7,0.286,0.286,5,6,0.833,3,7,10,3,5,2,3,12,9,antetth01
8,Carmelo Anthony,PF,36,POR,6,0,143,25,60,0.417,14,37,0.378,11,23,0.478,0.533,10,11,0.909,2,17,19,9,2,1,7,15,74,anthoca01
9,Trevor Ariza,SF,35,MIA,4,4,96,7,23,0.304,5,17,0.294,2,6,0.333,0.413,0,0,,2,21,23,2,3,1,3,11,19,arizatr01
10,Deandre Ayton,C,22,PHO,22,22,801,154,234,0.658,0,0,,154,234,0.658,0.658,39,53,0.736,67,193,260,25,18,24,28,63,347,aytonde01
11,Udoka Azubuike,C,21,UTA,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0,azubuud01
12,Desmond Bane,SG,22,MEM,5,0,99,11,19,0.579,6,12,0.5,5,7,0.714,0.737,0,0,,2,15,17,10,4,2,3,6,28,banede01
13,RJ Barrett,SG,20,NYK,5,5,162,26,67,0.388,8,28,0.286,18,39,0.462,0.448,12,15,0.8,4,32,36,15,4,2,2,11,72,barrerj01
14,Will Barton,SF,30,DEN,3,1,83,19,43,0.442,7,21,0.333,12,22,0.545,0.523,4,4,1,1,12,13,8,2,1,4,4,49,bartowi01
15,Nicolas Batum,SF,32,LAC,19,10,555,53,109,0.486,28,72,0.389,25,37,0.676,0.615,19,23,0.826,19,86,105,39,24,10,6,26,153,batumni01
16,Bradley Beal,SG,27,WAS,5,5,195,56,123,0.455,7,32,0.219,49,91,0.538,0.484,31,36,0.861,6,25,31,21,4,3,20,6,150,bealbr01
17,D?vis Bert?ns,PF,28,WAS,4,2,106,11,27,0.407,8,23,0.348,3,4,0.75,0.556,7,7,1,0,11,11,1,1,2,1,12,37,bertada01
18,Patrick Beverley,PG,32,LAC,17,7,323,29,68,0.426,13,37,0.351,16,31,0.516,0.522,12,14,0.857,11,30,41,24,12,12,4,35,83,beverpa01
19,Nemanja Bjelica,PF,32,MIA,2,0,30,5,11,0.455,4,8,0.5,1,3,0.333,0.636,4,6,0.667,1,4,5,2,2,1,0,5,18,bjeline01
20,Keljin Blevins,SF,25,POR,2,0,4,1,2,0.5,0,1,0,1,1,1,0.5,0,0,,0,0,0,0,0,0,0,1,2,blevike01
21,Bogdan Bogdanovi?,SG,28,ATL,18,18,598,97,249,0.39,47,143,0.329,50,106,0.472,0.484,12,17,0.706,11,64,75,52,29,5,27,50,253,bogdabo01
22,Bojan Bogdanovi?,SF,31,UTA,11,11,390,64,137,0.467,35,76,0.461,29,61,0.475,0.595,36,41,0.878,6,41,47,16,10,0,23,27,199,bogdabo02
23,Bol Bol,PF,21,DEN,3,0,6,0,1,0,0,1,0,0,0,,0,0,0,,0,1,1,2,0,0,0,0,0,bolbo01
24,Isaac Bonga,SF,21,WAS,4,0,10,0,5,0,0,3,0,0,2,0,0,0,0,,0,0,0,0,0,1,0,0,0,bongais01
25,Devin Booker,SG,24,PHO,22,22,889,212,474,0.447,44,137,0.321,168,337,0.499,0.494,133,147,0.905,15,109,124,100,18,4,81,76,601,bookede01
26,Jarrell Brantley,PF,24,UTA,2,0,3,0,1,0,0,0,,0,1,0,0,1,2,0.5,0,1,1,0,0,0,1,0,1,brantja01
27,Mikal Bridges,SF,24,PHO,22,22,707,92,190,0.484,35,95,0.368,57,95,0.6,0.576,25,28,0.893,20,74,94,36,22,15,16,41,244,bridgmi01
28,Dillon Brooks,SF,25,MEM,5,5,175,50,97,0.515,8,20,0.4,42,77,0.545,0.557,21,26,0.808,5,16,21,11,7,2,9,17,129,brookdi01
29,Bruce Brown,PG,24,BRK,12,5,277,40,79,0.506,2,11,0.182,38,68,0.559,0.519,13,16,0.813,23,38,61,25,8,5,11,31,95,brownbr01
30,Jalen Brunson,PG,24,DAL,7,0,114,20,44,0.455,6,13,0.462,14,31,0.452,0.523,10,13,0.769,6,12,18,10,0,0,4,6,56,brunsja01
31,Elijah Bryant,SG,25,MIL,11,0,50,7,20,0.35,0,8,0,7,12,0.583,0.35,0,0,,2,10,12,4,2,1,2,1,14,bryanel01
32,Reggie Bullock,SF,29,NYK,5,5,162,15,39,0.385,10,29,0.345,5,10,0.5,0.513,4,5,0.8,5,12,17,6,3,1,4,11,44,bullore01
33,Trey Burke,PG,28,DAL,2,0,17,0,7,0,0,3,0,0,4,0,0,1,2,0.5,1,0,1,1,0,0,0,1,1,burketr01
34,Alec Burks,SG,29,NYK,5,0,128,24,56,0.429,8,24,0.333,16,32,0.5,0.5,14,19,0.737,5,20,25,13,1,0,4,11,70,burksal01
35,Jimmy Butler,SF,31,MIA,4,4,154,19,64,0.297,4,15,0.267,15,49,0.306,0.328,16,22,0.727,6,24,30,28,5,1,9,6,58,butleji01
36,Kentavious Caldwell-Pope,SG,27,LAL,5,5,146,11,29,0.379,4,19,0.211,7,10,0.7,0.448,5,5,1,2,12,14,5,5,0,2,15,31,caldwke01
37,Facundo Campazzo,PG,29,DEN,10,9,270,29,74,0.392,19,48,0.396,10,26,0.385,0.52,16,19,0.842,7,23,30,41,14,4,15,35,93,campafa01
38,Vlatko ?an?ar,PF,23,DEN,5,0,21,3,3,1,1,1,1,2,2,1,1.167,4,5,0.8,0,3,3,1,1,1,1,0,11,cancavl01
39,Clint Capela,C,26,ATL,18,18,569,82,136,0.603,0,0,,82,136,0.603,0.603,17,39,0.436,61,140,201,17,12,19,18,46,181,capelca01
40,Jevon Carter,PG,25,PHO,7,0,22,3,8,0.375,0,2,0,3,6,0.5,0.375,0,2,0,0,2,2,4,0,0,0,0,6,carteje01
41,Alex Caruso,PG,26,LAL,6,0,121,14,38,0.368,5,17,0.294,9,21,0.429,0.434,2,2,1,2,6,8,3,1,4,7,12,35,carusal01
42,Willie Cauley-Stein,C,27,DAL,6,0,63,6,9,0.667,0,0,,6,9,0.667,0.667,3,3,1,3,13,16,3,2,4,3,8,15,caulewi01
43,Chris Chiozza,PG,25,BRK,6,0,19,2,7,0.286,1,3,0.333,1,4,0.25,0.357,0,0,,0,1,1,1,1,0,1,2,5,chiozch01
44,Brandon Clarke,PF,24,MEM,2,0,9,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,0,1,1,0,0,1,0,0,2,clarkbr01
45,Jordan Clarkson,SG,28,UTA,11,0,298,67,165,0.406,34,97,0.351,33,68,0.485,0.509,25,26,0.962,6,28,34,17,7,3,23,15,193,clarkjo01
46,Nic Claxton,C,21,BRK,12,0,130,14,29,0.483,0,0,,14,29,0.483,0.483,2,3,0.667,14,19,33,7,4,12,4,20,30,claxtni01
47,Amir Coffey,SG,23,LAC,10,0,16,3,4,0.75,1,1,1,2,3,0.667,0.875,0,1,0,0,2,2,1,1,0,1,0,7,coffeam01
48,John Collins,PF,23,ATL,18,18,576,100,182,0.549,20,56,0.357,80,126,0.635,0.604,30,36,0.833,36,121,157,16,8,11,23,59,250,collijo01
49,Mike Conley,PG,33,UTA,6,6,176,29,68,0.426,18,37,0.486,11,31,0.355,0.559,16,16,1,3,18,21,46,1,3,14,15,92,conlemi01
50,Pat Connaughton,SG,28,MIL,23,1,546,55,119,0.462,37,95,0.389,18,24,0.75,0.618,11,13,0.846,29,72,101,20,10,6,12,38,158,connapa01
51,DeMarcus Cousins,C,30,LAC,7,0,58,19,42,0.452,4,10,0.4,15,32,0.469,0.5,11,14,0.786,6,8,14,5,2,3,5,13,53,couside01
52,Robert Covington,PF,30,POR,6,6,228,18,36,0.5,11,22,0.5,7,14,0.5,0.653,9,10,0.9,9,38,47,7,9,6,8,20,56,covinro01
53,Torrey Craig,SF,30,PHO,22,0,266,32,75,0.427,15,37,0.405,17,38,0.447,0.527,8,13,0.615,19,44,63,9,1,8,10,33,87,craigto01
54,Jae Crowder,PF,30,PHO,22,22,729,76,184,0.413,54,142,0.38,22,42,0.524,0.56,31,35,0.886,10,124,134,41,19,18,19,67,237,crowdja01
55,Seth Curry,SG,30,PHI,12,12,381,85,147,0.578,41,81,0.506,44,66,0.667,0.718,15,19,0.789,4,24,28,28,9,3,10,33,226,curryse01
56,Anthony Davis,PF,27,LAL,5,5,144,25,62,0.403,2,11,0.182,23,51,0.451,0.419,35,42,0.833,7,26,33,13,3,8,6,9,87,davisan02
57,Dewayne Dedmon,C,31,MIA,4,0,57,10,18,0.556,1,3,0.333,9,15,0.6,0.583,4,5,0.8,8,10,18,3,0,2,6,10,25,dedmode01
58,Mamadi Diakite,PF,24,MIL,7,0,35,2,10,0.2,1,2,0.5,1,8,0.125,0.25,2,2,1,1,6,7,0,3,1,1,7,7,diakima01
59,Donte DiVincenzo,SG,24,MIL,3,3,70,3,16,0.188,2,12,0.167,1,4,0.25,0.25,0,0,,2,17,19,8,3,1,6,4,8,divindo01
60,Luka Don?i?,PG,21,DAL,7,7,281,96,196,0.49,31,76,0.408,65,120,0.542,0.569,27,51,0.529,4,51,55,72,9,3,32,17,250,doncilu01
61,Goran Dragi?,PG,34,MIA,4,2,117,23,54,0.426,9,26,0.346,14,28,0.5,0.509,9,12,0.75,1,6,7,11,4,2,6,11,64,dragigo01
62,Andre Drummond,C,27,LAL,5,5,105,19,32,0.594,0,0,,19,32,0.594,0.594,7,10,0.7,19,36,55,0,4,3,11,12,45,drumman01
63,Jared Dudley,PF,35,LAL,2,0,5,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,dudleja01
64,Kris Dunn,PG,26,ATL,5,0,33,1,5,0.2,0,1,0,1,4,0.25,0.2,4,4,1,0,5,5,5,2,2,4,5,6,dunnkr01
65,Kevin Durant,PF,32,BRK,12,12,485,145,282,0.514,33,82,0.402,112,200,0.56,0.573,88,101,0.871,5,106,111,53,18,19,42,31,411,duranke01
66,Carsen Edwards,SG,22,BOS,2,0,5,2,3,0.667,1,2,0.5,1,1,1,0.833,0,0,,0,1,1,0,0,0,0,0,5,edwarca01
67,CJ Elleby,SF,20,POR,2,0,8,0,1,0,0,0,,0,1,0,0,0,0,,1,2,3,1,0,0,1,0,0,ellebcj01
68,Joel Embiid,C,26,PHI,11,11,357,101,197,0.513,16,41,0.39,85,156,0.545,0.553,91,109,0.835,16,100,116,37,11,16,42,33,309,embiijo01
69,Tacko Fall,C,25,BOS,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0,fallta01
70,Derrick Favors,C,29,UTA,11,0,145,16,23,0.696,0,0,,16,23,0.696,0.696,5,9,0.556,19,27,46,3,2,10,6,25,37,favorde01
71,Bruno Fernando,C,22,ATL,6,0,12,2,3,0.667,0,0,,2,3,0.667,0.667,2,2,1,1,0,1,0,0,0,0,0,6,fernabr01
72,Yogi Ferrell,PG,27,LAC,9,0,15,2,5,0.4,0,1,0,2,4,0.5,0.4,0,0,,0,3,3,3,0,0,0,0,4,ferreyo01
73,Dorian Finney-Smith,PF,27,DAL,7,7,271,26,64,0.406,16,37,0.432,10,27,0.37,0.531,4,5,0.8,17,29,46,15,8,2,12,23,72,finnedo01
74,Bryn Forbes,SG,27,MIL,20,0,273,46,112,0.411,33,89,0.371,13,23,0.565,0.558,6,8,0.75,2,26,28,6,2,2,7,16,131,forbebr01
75,Trent Forrest,PG,22,UTA,4,0,10,2,4,0.5,0,0,,2,4,0.5,0.5,0,0,,0,0,0,0,0,0,0,0,4,forretr01
76,Evan Fournier,SG,28,BOS,5,5,167,27,63,0.429,13,30,0.433,14,33,0.424,0.532,10,12,0.833,5,13,18,7,6,0,5,20,77,fournev01
77,Enes Freedom,C,28,POR,5,0,56,4,8,0.5,0,0,,4,8,0.5,0.5,2,2,1,6,7,13,0,0,2,3,9,10,kanteen01
78,Daniel Gafford,C,22,WAS,5,2,117,22,26,0.846,0,0,,22,26,0.846,0.846,15,24,0.625,14,15,29,3,5,10,3,17,59,gaffoda01
79,Danilo Gallinari,PF,32,ATL,18,0,442,74,174,0.425,34,84,0.405,40,90,0.444,0.523,49,52,0.942,8,62,70,14,6,3,15,46,231,gallida01
80,Langston Galloway,SG,29,PHO,2,0,15,1,7,0.143,0,2,0,1,5,0.2,0.143,0,1,0,0,2,2,1,0,1,0,1,2,gallola01
81,Marc Gasol,C,36,LAL,5,1,87,8,13,0.615,7,11,0.636,1,2,0.5,0.885,3,4,0.75,4,15,19,15,4,4,4,16,26,gasolma01
82,Paul George,SF,30,LAC,19,19,776,165,374,0.441,51,152,0.336,114,222,0.514,0.509,130,154,0.844,17,166,183,102,19,10,67,59,511,georgpa01
83,Taj Gibson,C,35,NYK,5,3,138,12,20,0.6,0,0,,12,20,0.6,0.6,1,1,1,16,19,35,4,8,5,3,13,25,gibsota01
84,Harry Giles,C,22,POR,1,0,4,0,1,0,0,0,,0,1,0,0,0,0,,2,1,3,0,0,0,3,0,0,gilesha01
85,Anthony Gill,PF,28,WAS,4,0,33,0,3,0,0,1,0,0,2,0,0,0,0,,1,3,4,0,0,0,3,7,0,gillan01
86,Rudy Gobert,C,28,UTA,11,11,376,60,81,0.741,0,1,0,60,80,0.75,0.741,42,66,0.636,43,92,135,9,6,23,17,46,162,goberru01
87,Aaron Gordon,PF,25,DEN,10,10,299,43,99,0.434,9,23,0.391,34,76,0.447,0.48,16,25,0.64,21,33,54,20,5,3,14,23,111,gordoaa01
88,Danny Green,SF,33,PHI,8,8,199,21,48,0.438,14,37,0.378,7,11,0.636,0.583,0,0,,9,12,21,21,9,8,5,13,56,greenda02
89,JaMychal Green,PF,30,DEN,10,0,190,20,45,0.444,6,20,0.3,14,25,0.56,0.511,8,9,0.889,17,35,52,11,2,2,3,12,54,greenja01
90,Jeff Green,PF,34,BRK,6,1,148,16,33,0.485,10,18,0.556,6,15,0.4,0.636,7,8,0.875,4,13,17,10,3,2,3,14,49,greenje02
91,Josh Green,SG,20,DAL,1,0,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,greenjo02
92,Blake Griffin,PF,31,BRK,12,12,318,42,79,0.532,14,36,0.389,28,43,0.651,0.62,10,14,0.714,15,56,71,21,10,6,5,40,108,griffbl01
93,Rui Hachimura,PF,22,WAS,5,5,173,29,47,0.617,9,15,0.6,20,32,0.625,0.713,7,12,0.583,5,31,36,5,2,1,5,18,74,hachiru01
94,Tim Hardaway Jr.,SG,28,DAL,7,7,262,42,101,0.416,23,57,0.404,19,44,0.432,0.53,12,16,0.75,5,18,23,10,3,0,6,17,119,hardati02
95,James Harden,PG,31,BRK,9,9,322,51,108,0.472,24,66,0.364,27,42,0.643,0.583,56,62,0.903,7,50,57,77,15,6,26,23,182,hardeja01
96,Montrezl Harrell,C,27,LAL,4,0,39,8,14,0.571,0,0,,8,14,0.571,0.571,7,9,0.778,5,5,10,0,2,0,2,3,23,harremo01
97,Joe Harris,SF,29,BRK,12,12,434,49,123,0.398,33,82,0.402,16,41,0.39,0.533,3,4,0.75,5,38,43,19,4,2,9,34,134,harrijo01
98,Tobias Harris,PF,28,PHI,12,12,438,105,215,0.488,16,43,0.372,89,172,0.517,0.526,35,40,0.875,10,92,102,42,12,5,18,29,261,harrito02
99,Shaquille Harrison,SG,27,DEN,9,0,40,3,4,0.75,1,1,1,2,3,0.667,0.875,2,3,0.667,0,8,8,3,3,3,5,3,9,harrish01
100,Tyler Herro,SG,21,MIA,4,0,93,12,38,0.316,6,19,0.316,6,19,0.316,0.395,7,7,1,1,12,13,7,1,1,3,2,37,herroty01
101,George Hill,PG,34,PHI,12,0,205,19,43,0.442,8,19,0.421,11,24,0.458,0.535,10,13,0.769,5,11,16,18,8,3,10,18,56,hillge01
102,Solomon Hill,PF,29,ATL,14,3,145,6,24,0.25,3,18,0.167,3,6,0.5,0.313,2,4,0.5,3,16,19,3,2,1,1,18,17,hillso01
103,Jrue Holiday,PG,30,MIL,23,23,912,158,389,0.406,43,142,0.303,115,247,0.466,0.461,40,56,0.714,32,100,132,199,38,10,56,48,399,holidjr01
104,Rondae Hollis-Jefferson,PF,26,POR,5,0,36,4,5,0.8,0,0,,4,5,0.8,0.8,2,3,0.667,3,5,8,0,1,1,0,5,10,holliro01
105,Talen Horton-Tucker,SG,20,LAL,4,0,48,11,24,0.458,1,5,0.2,10,19,0.526,0.479,3,5,0.6,2,12,14,2,1,0,3,3,26,hortota01
106,Dwight Howard,C,35,PHI,12,0,149,16,30,0.533,0,1,0,16,29,0.552,0.533,24,40,0.6,26,49,75,8,2,6,12,31,56,howardw01
107,Markus Howard,SG,21,DEN,9,0,112,15,37,0.405,11,26,0.423,4,11,0.364,0.554,1,2,0.5,1,6,7,4,0,1,0,10,42,howarma02
108,Kevin Huerter,SG,22,ATL,18,10,558,77,180,0.428,33,95,0.347,44,85,0.518,0.519,12,17,0.706,11,58,69,51,14,16,19,49,199,huertke01
109,De'Andre Hunter,SF,23,ATL,5,5,152,18,45,0.4,6,16,0.375,12,29,0.414,0.467,12,16,0.75,2,18,20,3,1,3,7,11,54,huntede01
110,Chandler Hutchison,SF,24,WAS,2,0,18,2,5,0.4,0,0,,2,5,0.4,0.4,2,2,1,0,3,3,1,0,0,1,1,6,hutchch01
111,Serge Ibaka,C,31,LAC,2,0,18,3,6,0.5,0,2,0,3,4,0.75,0.5,4,4,1,1,3,4,2,1,3,1,1,10,ibakase01
112,Andre Iguodala,SF,37,MIA,4,0,71,6,11,0.545,3,7,0.429,3,4,0.75,0.682,0,0,,3,9,12,5,4,2,5,8,15,iguodan01
113,Ersan ?lyasova,PF,33,UTA,1,0,3,1,2,0.5,0,1,0,1,1,1,0.5,2,2,1,0,0,0,0,0,0,0,0,4,ilyaser01
114,Joe Ingles,SF,33,UTA,11,6,306,39,79,0.494,24,58,0.414,15,21,0.714,0.646,10,13,0.769,1,33,34,38,7,0,9,19,112,inglejo01
115,Kyrie Irving,PG,28,BRK,9,9,325,77,163,0.472,24,65,0.369,53,98,0.541,0.546,26,28,0.929,12,40,52,31,9,5,11,19,204,irvinky01
116,Jaren Jackson Jr.,C,21,MEM,5,5,137,23,54,0.426,8,28,0.286,15,26,0.577,0.5,14,16,0.875,9,19,28,5,5,6,4,21,68,jacksja02
117,Justin Jackson,SF,25,MIL,5,0,15,3,5,0.6,0,2,0,3,3,1,0.6,0,0,,1,1,2,1,1,0,1,0,6,jacksju01
